Brand,Store Number,Country,Longitude,Latitude
Starbucks,1577-123446,AE,55.35,25.25
Starbucks,3169-123447,AE,55.35,25.25
Starbucks,34336-97974,AE,55.12,25.04
Starbucks,48522-263630,AE,55,24.54
Starbucks,24139-236004,AE,55.27,25.2
Starbucks,34320-74020,AE,55.3,25.25
Starbucks,15976-165685,AE,55.21,25.1
Starbucks,16528-168726,AE,55.4,25.13
Starbucks,22125-218025,AE,55.38,25.11
Starbucks,18837-193244,AE,55.33,25.29
Starbucks,31002-101076,AE,55.17,25.05
Starbucks,34346-97779,AE,55.16,25.1
Starbucks,48396-262946,AE,55.16,25.11
Starbucks,17045-172945,AE,56.3,25.13
Starbucks,28071-249840,AE,56.33,25.12
Starbucks,1911-138604,AE,55.78,25.68
Starbucks,34228-219605,AE,55.97,25.79
Starbucks,3172-113584,AE,55.92,25.75
Starbucks,17964-183966,AE,55.39,25.35
Starbucks,34252-54259,AE,55.4,25.35
Starbucks,34253-62541,AE,55.38,25.33
Starbucks,1359-138434,AE,55.38,25.32
Starbucks,34259-54260,AE,55.37,25.3
Starbucks,34217-27108,AE,55.48,25.3
Starbucks,22697-223524,AE,55.54,25.53
Starbucks,1278-139526,AR,-58.37,-34.68
Starbucks,16436-159304,AR,-57.87,-34.88
Starbucks,47294-254164,AR,-58.44,-34.58
Starbucks,25823-198067,AR,-58.7,-34.53
Starbucks,15008-157047,AR,-58.51,-34.47
Starbucks,26540-219150,AR,-58.5,-34.49
Starbucks,47751-259030,AR,-58.4,-34.59
Starbucks,47750-259026,AR,-58.38,-34.6
Starbucks,16898-173464,AR,-58.53,-34.8
Starbucks,8091-151284,AR,-58.49,-34.48
Starbucks,1271-136936,AR,-58.52,-34.51
Starbucks,8895-151508,AR,-58.65,-34.63
Starbucks,15006-157046,AR,-58.92,-34.45
Starbucks,15219-158845,AR,-60.22,-33.39
Starbucks,47724-230145,AR,-58.86,-34.46
Starbucks,15474-156010,AR,-58.26,-34.72
Starbucks,16786-175824,AR,-58.55,-34.49
Starbucks,16444-169428,AR,-58.56,-34.69
Starbucks,3632-142527,AR,-58.66,-34.4
Starbucks,3628-142530,AR,-58.73,-34.45
Starbucks,15478-161685,AR,-58.47,-34.53
Starbucks,26464-238685,AR,-58.41,-34.6
Starbucks,7123-150606,AR,-58.44,-34.57
Starbucks,26539-230148,AR,-58.4,-34.6
Starbucks,25324-219149,AR,-58.44,-34.58
Starbucks,13054-156007,AR,-58.47,-34.55
Starbucks,15654-164107,AR,-58.46,-34.56
Starbucks,15329-160024,AR,-58.39,-34.6
Starbucks,26461-232984,AR,-58.38,-34.6
Starbucks,16744-173424,AR,-58.42,-34.57
Starbucks,26535-240364,AR,-58.37,-34.61
Starbucks,47283-246923,AR,-58.46,-34.56
Starbucks,1290-142064,AR,-58.43,-34.59
Starbucks,49438-156016,AR,-58.42,-34.57
Starbucks,9126-151506,AR,-58.38,-34.59
Starbucks,20313-198064,AR,-58.43,-34.58
Starbucks,16600-173444,AR,-58.38,-34.61
Starbucks,1270-136935,AR,-58.44,-34.57
Starbucks,16743-175224,AR,-58.39,-34.6
Starbucks,1282-139530,AR,-58.38,-34.6
Starbucks,1273-137353,AR,-58.36,-34.61
Starbucks,3525-142748,AR,-58.49,-34.55
Starbucks,1284-140707,AR,-58.46,-34.57
Starbucks,17802-185946,AR,-58.37,-34.6
Starbucks,26459-238684,AR,-58.38,-34.6
Starbucks,32499-133544,AR,-58.41,-34.59
Starbucks,1277-139525,AR,-58.39,-34.6
Starbucks,9199-152184,AR,-58.4,-34.58
Starbucks,3803-153444,AR,-58.36,-34.6
Starbucks,29536-246926,AR,-58.45,-34.56
Starbucks,16370-170264,AR,-58.38,-34.61
Starbucks,1281-139529,AR,-58.37,-34.6
Starbucks,19948-198065,AR,-58.38,-34.61
Starbucks,15142-156008,AR,-58.37,-34.61
Starbucks,24877-228684,AR,-58.39,-34.59
Starbucks,19944-202505,AR,-58.38,-34.62
Starbucks,15005-157045,AR,-58.43,-34.62
Starbucks,6177-149892,AR,-58.43,-34.62
Starbucks,16479-169427,AR,-58.39,-34.6
Starbucks,15509-158844,AR,-58.43,-34.58
Starbucks,17243-180104,AR,-58.52,-34.61
Starbucks,7027-149890,AR,-58.41,-34.58
Starbucks,24640-221027,AR,-58.47,-34.54
Starbucks,1279-139527,AR,-58.41,-34.6
Starbucks,15653-164104,AR,-58.39,-34.6
Starbucks,26538-230144,AR,-58.37,-34.6
Starbucks,20619-198066,AR,-58.37,-34.6
Starbucks,7152-150785,AR,-58.38,-34.62
Starbucks,15098-156012,AR,-58.57,-34.64
Starbucks,15459-161686,AR,-58.37,-34.62
Starbucks,15059-157325,AR,-58.41,-34.59
Starbucks,1285-140708,AR,-58.37,-34.61
Starbucks,15058-157324,AR,-58.4,-34.58
Starbucks,16237-169426,AR,-58.39,-34.59
Starbucks,8177-151507,AR,-58.37,-34.6
Starbucks,3629-142529,AR,-58.41,-34.58
Starbucks,23695-219147,AR,-58.38,-34.6
Starbucks,16690-174425,AR,-58.44,-34.57
Starbucks,24076-221025,AR,-58.4,-34.6
Starbucks,15672-164105,AR,-58.37,-34.61
Starbucks,3633-142525,AR,-58.46,-34.54
Starbucks,25325-232985,AR,-58.41,-34.59
Starbucks,19945-198044,AR,-58.41,-34.6
Starbucks,15458-161684,AR,-58.48,-34.58
Starbucks,3554-153291,AR,-58.4,-34.59
Starbucks,15150-156011,AR,-58.4,-34.77
Starbucks,4034-136938,AR,-58.49,-34.55
Starbucks,8090-154364,AR,-58.38,-34.6
Starbucks,24876-231226,AR,-58.44,-34.6
Starbucks,26472-239830,AR,-58.39,-34.6
Starbucks,9125-149965,AR,-58.44,-34.57
Starbucks,21445-212345,AR,-58.44,-34.62
Starbucks,20331-204904,AR,-58.45,-34.55
Starbucks,21525-212344,AR,-58.37,-34.6
Starbucks,47742-259028,AR,-68.84,-32.89
Starbucks,47803-259029,AR,-68.84,-32.88
Starbucks,17240-171905,AR,-68.78,-32.9
Starbucks,47752-259027,AR,-68.84,-32.89
Starbucks,17241-171904,AR,-68.83,-32.92
Starbucks,15673-163045,AR,-60.65,-32.94
Starbucks,15651-163044,AR,-60.67,-32.93
Starbucks,47305-254784,AR,-60.7,-32.96
Starbucks,47235-248696,AR,-64.31,-31.32
Starbucks,47289-254786,AR,-64.2,-31.44
Starbucks,16161-168806,AR,-64.19,-31.41
Starbucks,22131-168807,AR,-64.24,-31.36
Starbucks,16290-163049,AR,-64.2,-31.41
Starbucks,16302-163050,AR,-64.2,-31.44
Starbucks,21998-216824,AT,16.32,48.11
Starbucks,19939-196684,AT,13.01,47.82
Starbucks,21799-140452,AT,13.04,47.8
Starbucks,19767-199325,AT,13.05,47.81
Starbucks,25921-242984,AT,16.56,48.13
Starbucks,40206-77760,AT,16.35,48.2
Starbucks,40202-69420,AT,16.39,48.24
Starbucks,23739-161864,AT,16.38,48.18
Starbucks,15134-158024,AT,16.37,48.21
Starbucks,40213-99693,AT,16.37,48.21
Starbucks,40212-96779,AT,16.35,48.22
Starbucks,40204-76700,AT,16.36,48.2
Starbucks,31077-103980,AT,16.38,48.21
Starbucks,32495-133884,AT,16.39,48.21
Starbucks,13074-150484,AT,16.43,48.24
Starbucks,19247-200084,AT,16.34,48.2
Starbucks,17786-183845,AT,16.36,48.21
Starbucks,32492-120288,AT,16.37,48.2
Starbucks,49778-271255,AU,151.29,-33.8
Starbucks,25291-240407,AU,150.82,-33.77
Starbucks,48100-261428,AU,151,-33.82
Starbucks,25277-240391,AU,151.21,-33.88
Starbucks,25290-240408,AU,151.21,-33.87
Starbucks,25296-240405,AU,151.21,-33.87
Starbucks,25276-240390,AU,151.21,-33.87
Starbucks,25279-240396,AU,151.21,-33.88
Starbucks,25299-240395,AU,150.99,-33.8
Starbucks,25282-240406,AU,153.03,-27.47
Starbucks,25278-240393,AU,153.02,-27.47
Starbucks,25288-240410,AU,153.43,-28.03
Starbucks,25287-240411,AU,153.03,-27.39
Starbucks,25292-240421,AU,153.43,-28.01
Starbucks,25285-240413,AU,153.43,-28.02
Starbucks,24303-236999,AU,153.09,-27.54
Starbucks,25295-240418,AU,153.03,-27.5
Starbucks,25294-240419,AU,144.97,-37.81
Starbucks,25293-240420,AU,144.97,-37.82
Starbucks,25286-240412,AU,144.95,-37.82
Starbucks,25283-240416,AU,144.97,-37.81
Starbucks,49790-270953,AU,144.96,-37.81
Starbucks,15476-160864,AW,-70.04,12.57
Starbucks,3635-146029,AW,-70.04,12.52
Starbucks,3634-146030,AW,-70.04,12.52
Starbucks,28752-250830,AZ,49.85,40.38
Starbucks,25822-240094,AZ,49.86,40.38
Starbucks,28135-250266,AZ,49.85,40.4
Starbucks,29399-253484,AZ,48.9,39.95
Starbucks,48462-260556,BE,4.38,50.84
Starbucks,26401-240667,BE,4.35,50.83
Starbucks,26399-240668,BE,4.33,50.83
Starbucks,48459-260557,BE,4.41,50.84
Starbucks,18497-185504,BE,4.4,51.22
Starbucks,20374-205052,BE,4.36,50.84
Starbucks,18478-186824,BE,4.36,50.85
Starbucks,6104-148664,BE,4.42,51.22
Starbucks,17990-180284,BE,3.19,51.27
Starbucks,15272-158067,BE,4.36,50.85
Starbucks,17299-177127,BE,3.72,51.04
Starbucks,15759-164604,BE,3.72,51.05
Starbucks,20894-198024,BE,4.71,50.88
Starbucks,17489-177128,BE,4.36,50.86
Starbucks,32639-137287,BE,4.49,50.9
Starbucks,1338-245953,BE,4.48,50.87
Starbucks,6030-137290,BE,4.48,50.9
Starbucks,28830-248724,BE,5.57,50.63
Starbucks,19372-201645,BE,4.86,50.47
Starbucks,1460-137881,BG,25.62,42.42
Starbucks,1459-137880,BG,23.43,42.64
Starbucks,22556-222345,BG,23.32,42.66
Starbucks,1603-141846,BG,23.32,42.7
Starbucks,1370-137876,BG,23.32,42.69
Starbucks,47088-256773,BH,50.52,26.21
Starbucks,21603-213405,BH,50.59,26.23
Starbucks,17255-179926,BH,50.6,26.2
Starbucks,17189-179925,BH,50.58,26.22
Starbucks,15439-161444,BH,50.57,26.21
Starbucks,47377-258065,BH,50.55,26.22
Starbucks,26955-246149,BH,50.59,26.23
Starbucks,21148-209545,BH,50.6,26.22
Starbucks,34324-95973,BH,50.61,26.21
Starbucks,34234-33223,BH,50.54,26.23
Starbucks,34286-79020,BH,50.58,26.21
Starbucks,1349-112145,BH,50.59,26.24
Starbucks,32717-122090,BH,50.55,26.23
Starbucks,34218-27369,BH,50.54,26.23
Starbucks,34345-98401,BH,50.58,26.24
Starbucks,32716-134986,BH,50.55,26.23
Starbucks,18359-188905,BH,50.58,26.22
Starbucks,34302-86720,BH,50.58,26.14
Starbucks,23604-225764,BH,50.57,26.23
Starbucks,1582-122086,BH,50.61,26.25
Starbucks,3639-145205,BH,50.63,26.27
Starbucks,26078-242484,BN,114.4,4.3
Starbucks,22537-220404,BN,114.94,4.91
Starbucks,22537-221644,BN,114.94,4.91
Starbucks,24922-223884,BN,115,5
Starbucks,25025-239325,BN,114.73,4.77
Starbucks,24171-224044,BO,-63.19,-17.75
Starbucks,27289-247144,BO,-63.18,-17.8
Starbucks,26388-239190,BO,-63.18,-17.75
Starbucks,24172-224045,BO,-63.2,-17.75
Starbucks,16178-168205,BR,-43.11,-22.9
Starbucks,15158-240092,BR,-43.12,-22.9
Starbucks,24246-236684,BR,-43.12,-22.9
Starbucks,16680-172329,BR,-43.23,-22.98
Starbucks,25120-238328,BR,-43.25,-22.81
Starbucks,24957-239367,BR,-43.18,-22.9
Starbucks,17029-178774,BR,-43.2,-22.98
Starbucks,26236-238690,BR,-43.22,-22.98
Starbucks,1616-129745,BR,-43.18,-22.96
Starbucks,15077-144229,BR,-43.18,-22.95
Starbucks,17622-182367,BR,-43.24,-22.92
Starbucks,27154-153758,BR,-43.36,-23
Starbucks,17032-178778,BR,-43.28,-22.89
Starbucks,21347-211845,BR,-43.27,-22.88
Starbucks,16262-168204,BR,-43.18,-22.9
Starbucks,17575-183485,BR,-43.18,-22.91
Starbucks,23181-228184,BR,-43.18,-22.9
Starbucks,16511-172333,BR,-43.18,-22.94
Starbucks,16512-172326,BR,-43.36,-22.98
Starbucks,1597-144232,BR,-43.32,-23
Starbucks,19039-198109,BR,-43.19,-22.98
Starbucks,15072-205624,BR,-43.22,-22.98
Starbucks,21722-214113,BR,-43.36,-23
Starbucks,20361-204804,BR,-46.63,-23.62
Starbucks,1620-137556,BR,-46.83,-23.5
Starbucks,23537-230924,BR,-49.05,-22.34
Starbucks,15073-141445,BR,-47.06,-22.85
Starbucks,22630-222405,BR,-47.08,-22.93
Starbucks,22049-217325,BR,-47.14,-23.01
Starbucks,22050-217324,BR,-47.15,-23.01
Starbucks,15075-132765,BR,-47.05,-22.9
Starbucks,15088-132764,BR,-47.03,-22.89
Starbucks,16820-172334,BR,-47.02,-22.86
Starbucks,21346-210669,BR,-46.49,-23.43
Starbucks,21404-212164,BR,-46.49,-23.43
Starbucks,22074-252023,BR,-46.48,-23.43
Starbucks,21240-209666,BR,-46.55,-23.49
Starbucks,23069-227505,BR,-46.54,-23.44
Starbucks,21349-210668,BR,-46.48,-23.43
Starbucks,22886-225568,BR,-47.65,-22.7
Starbucks,20462-205664,BR,-47.87,-21.18
Starbucks,21496-211625,BR,-47.82,-21.21
Starbucks,19113-196825,BR,-47.81,-21.21
Starbucks,16179-165745,BR,-46.53,-23.67
Starbucks,23697-232164,BR,-46.31,-23.98
Starbucks,18892-196485,BR,-46.54,-23.73
Starbucks,21501-211525,BR,-46.55,-23.69
Starbucks,16270-153754,BR,-46.58,-23.63
Starbucks,19116-198104,BR,-45.89,-23.19
Starbucks,19036-198105,BR,-45.88,-23.2
Starbucks,19154-196844,BR,-49.4,-20.84
Starbucks,22625-221985,BR,-49.39,-20.84
Starbucks,22787-224488,BR,-45.89,-23.22
Starbucks,24812-236264,BR,-46.64,-23.57
Starbucks,24953-238607,BR,-46.66,-23.63
Starbucks,15083-119364,BR,-46.66,-23.56
Starbucks,25258-218466,BR,-46.65,-23.56
Starbucks,16828-174131,BR,-46.67,-23.61
Starbucks,26526-244252,BR,-46.64,-23.6
Starbucks,13018-155344,BR,-46.66,-23.56
Starbucks,17030-178614,BR,-46.58,-23.54
Starbucks,17076-174965,BR,-46.6,-23.48
Starbucks,22747-223964,BR,-46.66,-23.56
Starbucks,16732-171265,BR,-46.69,-23.6
Starbucks,15076-137360,BR,-46.62,-23.52
Starbucks,23535-230929,BR,-46.65,-23.57
Starbucks,15087-119368,BR,-46.68,-23.53
Starbucks,15071-139724,BR,-46.72,-23.55
Starbucks,17760-185965,BR,-46.71,-23.51
Starbucks,18850-196006,BR,-46.58,-23.54
Starbucks,20182-203439,BR,-46.64,-23.57
Starbucks,21972-216324,BR,-46.65,-23.55
Starbucks,18328-189824,BR,-46.89,-23.2
Starbucks,15089-138507,BR,-46.64,-23.57
Starbucks,24299-237048,BR,-46.47,-23.54
Starbucks,15290-159665,BR,-46.61,-23.55
Starbucks,16693-174504,BR,-46.66,-23.56
Starbucks,15080-108726,BR,-46.66,-23.54
Starbucks,15090-129744,BR,-46.68,-23.58
Starbucks,25212-239906,BR,-46.7,-23.61
Starbucks,22198-218465,BR,-46.72,-23.51
Starbucks,15074-141446,BR,-46.56,-23.56
Starbucks,15070-138325,BR,-46.66,-23.6
Starbucks,18152-188284,BR,-46.65,-23.57
Starbucks,15084-119365,BR,-46.65,-23.57
Starbucks,18059-187909,BR,-46.7,-23.62
Starbucks,15068-127148,BR,-46.65,-23.57
Starbucks,25013-239489,BR,-46.64,-23.55
Starbucks,15085-119387,BR,-46.67,-23.61
Starbucks,23771-231944,BR,-46.7,-23.68
Starbucks,15078-106618,BR,-46.7,-23.62
Starbucks,21604-212986,BR,-46.65,-23.55
Starbucks,17190-179664,BR,-46.7,-23.62
Starbucks,19143-199070,BR,-46.69,-23.59
Starbucks,15069-134020,BR,-46.72,-23.59
Starbucks,17660-184304,BR,-46.66,-23.56
Starbucks,20467-188924,BR,-46.69,-23.59
Starbucks,17023-178613,BR,-46.59,-23.58
Starbucks,16703-159666,BR,-46.68,-23.6
Starbucks,15079-107036,BR,-46.7,-23.62
Starbucks,18060-187907,BR,-46.68,-23.58
Starbucks,20363-203440,BR,-47.46,-23.53
Starbucks,20487-206084,BS,-77.45,25.03
Starbucks,19786-203064,BS,-77.47,25.07
